Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82
Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33.00
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.00,31.37
Tetris,GB,1989,Puzzle,Nintendo,23.20,2.26,4.22,0.58,30.26
New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.50,2.90,30.01
Wii Play,Wii,2006,Misc,Nintendo,14.03,9.20,2.93,2.85,29.02
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.36,2.26,28.32
Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.40
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.40,0.41,10.57,20.81
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,14.89,3.96,1.87,0.58,21.30
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.03,4.28,0.13,2.77,16.21
Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.67,3.73,0.11,2.52,16.03
